time,{Stimuli}.stimuli.w_desired,{Stimuli}.stimuli.LoadTorque_Nm,{Controller}.ctrl.V,{Drive}.drive.w
0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0
0.002,0.0,0.0,0.0,0.0
0.003,0.0,0.0,0.0,0.0
0.004,0.0,0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0
0.006,0.0,0.0,0.0,0.0
0.007,0.0,0.0,0.0,0.0
0.008,0.0,0.0,0.0,0.0
0.009000000000000001,0.0,0.0,0.0,0.0
0.010000000000000002,0.0,0.0,0.0,0.0
0.011000000000000003,0.0,0.0,0.0,0.0
0.012000000000000004,0.0,0.0,0.0,0.0
0.013000000000000005,0.0,0.0,0.0,0.0
0.014000000000000005,0.0,0.0,0.0,0.0
0.015000000000000006,0.0,0.0,0.0,0.0
0.016000000000000007,0.0,0.0,0.0,0.0
0.017000000000000008,0.0,0.0,0.0,0.0
0.01800000000000001,0.0,0.0,0.0,0.0
0.01900000000000001,0.0,0.0,0.0,0.0
0.02000000000000001,0.0,0.0,0.0,0.0
0.02100000000000001,0.0,0.0,0.0,0.0
0.022000000000000013,0.0,0.0,0.0,0.0
0.023000000000000013,0.0,0.0,0.0,0.0
0.024000000000000014,0.0,0.0,0.0,0.0
0.025000000000000015,0.0,0.0,0.0,0.0
0.026000000000000016,0.0,0.0,0.0,0.0
0.027000000000000017,0.0,0.0,0.0,0.0
0.028000000000000018,0.0,0.0,0.0,0.0
0.02900000000000002,0.0,0.0,0.0,0.0
0.03000000000000002,0.0,0.0,0.0,0.0
0.03100000000000002,0.0,0.0,0.0,0.0
0.03200000000000002,0.0,0.0,0.0,0.0
0.03300000000000002,0.0,0.0,0.0,0.0
0.03400000000000002,0.0,0.0,0.0,0.0
0.035000000000000024,0.0,0.0,0.0,0.0
0.036000000000000025,0.0,0.0,0.0,0.0
0.037000000000000026,0.0,0.0,0.0,0.0
0.03800000000000003,0.0,0.0,0.0,0.0
0.03900000000000003,0.0,0.0,0.0,0.0
0.04000000000000003,0.0,0.0,0.0,0.0
0.04100000000000003,0.0,0.0,0.0,0.0
0.04200000000000003,0.0,0.0,0.0,0.0
0.04300000000000003,0.0,0.0,0.0,0.0
0.04400000000000003,0.0,0.0,0.0,0.0
0.04500000000000003,0.0,0.0,0.0,0.0
0.046000000000000034,0.0,0.0,0.0,0.0
0.047000000000000035,0.0,0.0,0.0,0.0
